subject,sessionIndex,rep,DD.period.t,UU.period.t,DD.t.i,UU.t.i,DD.i.e,UU.i.e,DD.e.five,UU.e.five,DD.five.Shift.r,UU.five.Shift.r,DD.Shift.r.o,UU.Shift.r.o,DD.o.a,UU.o.a,DD.a.n,UU.a.n,DD.n.l,UU.n.l,DD.l.Return,UU.l.Return
s002,1,22,0.2217,0.1871,0.1349,0.1391,0.1716,0.1695,0.7674,0.7809,0.5554,0.5784,0.2609,0.2429,0.1400,0.1727,0.1373,0.0959,0.2009,0.2091,0.2654,0.2548
s002,1,23,0.1841,0.1366,0.1568,0.1650,0.1539,0.1515,0.8558,0.8418,0.5318,0.5710,0.2989,0.2703,0.1566,0.1935,0.1362,0.0880,0.2666,0.3209,0.4134,0.3612
s002,1,24,0.2019,0.1607,0.1745,0.1650,0.1310,0.1363,0.8622,0.8558,0.6002,0.6485,0.2642,0.2265,0.2875,0.3353,0.1413,0.0951,0.2505,0.2473,0.3092,0.3100
s002,1,25,0.1567,0.1237,0.1642,0.1479,0.1637,0.1787,0.6326,0.6490,0.7414,0.7752,0.3506,0.2664,0.3218,0.4387,0.2044,0.1677,0.5487,0.5400,0.2942,0.2733
s002,1,26,0.1691,0.1593,0.1502,0.1405,0.1463,0.1587,1.1635,1.1508,0.6878,0.7482,0.4054,0.3506,0.1931,0.1983,0.4914,0.5191,0.3359,0.3402,0.2507,0.2438
s002,1,27,0.1950,0.1502,0.1442,0.1394,0.1526,0.1658,0.6257,0.6154,0.5160,0.5482,0.2146,0.1674,0.2667,0.3538,0.2033,0.1376,0.7099,0.7349,0.3221,0.2696
s002,1,28,0.1726,0.1599,0.1243,0.1254,0.1492,0.1449,0.6505,0.6614,0.7831,0.8047,0.2143,0.1702,0.1117,0.1708,0.1695,0.1519,0.2537,0.2545,0.4024,0.3881
s002,1,29,0.1979,0.1791,0.1412,0.1428,0.1452,0.1463,0.8820,0.8833,0.6593,0.6994,0.3600,0.3392,0.1899,0.2516,0.1716,0.0887,0.2243,0.2528,0.4588,0.4446
s002,1,30,0.1356,0.1050,0.1666,0.1518,0.1178,0.1286,0.6547,0.6521,0.5063,0.5435,0.2600,0.2278,0.1131,0.1701,0.1872,0.1249,0.3510,0.3898,0.2918,0.2733
s002,1,31,0.2333,0.2301,0.2233,0.2183,0.2064,0.1879,0.8109,0.8088,0.4342,0.4675,0.3471,0.3341,0.1481,0.2020,0.1629,0.1035,0.2125,0.2275,0.2780,0.2387
s002,1,32,0.1731,0.1296,0.1323,0.1441,0.1510,0.1363,1.0875,1.1115,0.5810,0.6161,0.2453,0.2157,0.1191,0.1513,0.1756,0.1365,0.2515,0.2386,0.4630,0.4540
s002,1,33,0.2626,0.2156,0.1328,0.1428,0.1539,0.1421,0.7400,0.7407,0.5133,0.5572,0.2371,0.2186,0.1727,0.1869,0.1719,0.1363,0.2146,0.2231,0.2984,0.2706
s002,1,34,0.2309,0.2021,0.1362,0.1417,0.1349,0.1294,0.6495,0.6508,0.8205,0.8176,0.6014,0.6328,0.1429,0.1872,0.3365,0.3099,0.3254,0.3101,0.3082,0.2567
s002,1,35,0.2050,0.1802,0.1500,0.1479,0.1582,0.1531,0.8961,0.8932,0.4104,0.4509,0.2155,0.1853,0.1075,0.1426,0.2112,0.1801,0.2790,0.2835,0.2583,0.2345
s002,1,36,0.2013,0.1689,0.1410,0.1349,0.1452,0.1307,0.7917,0.7869,0.8804,0.9325,0.2540,0.2149,0.1041,0.1344,0.1603,0.1371,0.2370,0.2676,0.5364,0.4910
s002,1,37,0.5953,0.5686,0.1932,0.1829,0.1626,0.1502,0.7394,0.7479,0.6696,0.7155,0.2212,0.1821,0.1497,0.1885,0.2914,0.2796,0.2671,0.2634,0.2248,0.2256
s002,1,38,0.1855,0.1528,0.1399,0.1473,0.1653,0.1484,1.0794,1.0707,0.4197,0.4649,0.3221,0.2859,0.1176,0.1717,0.1759,0.1160,0.2318,0.2584,0.3044,0.2904
s002,1,39,0.1868,0.1475,0.1539,0.1507,0.1478,0.1531,0.6882,0.6776,0.4072,0.4411,0.1625,0.1376,0.0996,0.1323,0.2051,0.1867,0.2925,0.2956,0.2868,0.2604
s002,1,40,0.2145,0.1739,0.1452,0.1597,0.1631,0.1531,0.9099,0.9012,0.5833,0.6324,0.2458,0.2096,0.1761,0.2307,0.1895,0.1273,0.2864,0.2919,0.3330,0.3301
s002,1,41,0.2404,0.2277,0.1475,0.1372,0.1277,0.1412,0.7650,0.7679,0.4604,0.4998,0.1862,0.1531,0.1041,0.1435,0.1730,0.1207,0.2278,0.2444,0.3063,0.2844
s002,1,42,0.1396,0.1182,0.1774,0.1687,0.1801,0.2049,1.0436,1.0314,0.4608,0.4987,0.1804,0.1483,0.0985,0.1439,0.1872,0.1376,0.2428,0.2576,0.2567,0.2388
s002,1,43,0.2037,0.1717,0.1523,0.1465,0.1381,0.1566,0.6217,0.6109,0.4538,0.4807,0.1906,0.1674,0.0997,0.1567,0.2316,0.1859,0.2995,0.3082,0.3052,0.3010
s002,1,44,0.1947,0.1506,0.1544,0.1573,0.1396,0.1481,1.0255,1.0030,0.4373,0.5174,0.7826,0.7115,0.3331,0.3648,0.2959,0.3041,0.3012,0.2940,0.3598,0.3110
s002,1,45,0.3145,0.3073,0.1797,0.1805,0.2077,0.1901,0.8822,0.9009,0.4978,0.5178,0.2803,0.2468,0.1579,0.2131,0.2220,0.1713,0.2650,0.2753,0.5010,0.4775
s002,1,46,0.1908,0.1480,0.1407,0.1671,0.1499,0.1380,0.7869,0.7703,0.4962,0.5509,0.3281,0.3030,0.1379,0.1579,0.1719,0.1334,0.2404,0.2583,0.2730,0.2638
s002,1,47,0.1963,0.1428,0.1827,0.1850,0.1272,0.1146,1.2738,1.2894,0.7512,0.7710,0.2751,0.2513,0.2131,0.2558,0.2563,0.2054,0.2526,0.2526,0.2873,0.2807
s002,1,48,0.4995,0.5217,0.1568,0.1462,0.1811,0.1603,0.6547,0.6702,0.4289,0.4607,0.2725,0.2481,0.1394,0.1576,0.1993,0.1677,0.2164,0.2327,0.2910,0.2807
s002,1,49,0.2292,0.2037,0.1669,0.1740,0.1376,0.1431,0.7745,0.7835,0.4875,0.5105,0.2162,0.1876,0.0985,0.1389,0.2064,0.1473,0.2061,0.2164,0.2263,0.2326
s002,1,50,0.2127,0.1752,0.2209,0.2188,0.1798,0.1972,1.3036,1.2841,0.7870,0.8279,0.2629,0.2405,0.1210,0.1671,0.1608,0.0957,0.2397,0.2558,0.2971,0.2960
s002,2,1,0.4628,0.3985,0.1429,0.1809,0.1798,0.1557,1.4410,1.4210,0.9794,1.0227,0.2743,0.2843,0.1640,0.1690,0.1722,0.1326,0.1773,0.2230,0.3000,0.2480
s002,2,2,0.2343,0.1905,0.0987,0.1090,0.1106,0.1169,0.6275,0.6217,0.7983,0.8226,0.2360,0.2434,0.1141,0.1067,0.1407,0.1164,0.1610,0.1829,0.2311,0.2053
s002,2,3,0.1953,0.1845,0.1305,0.1252,0.1378,0.1264,0.8938,0.8896,0.7081,0.7817,0.3270,0.2692,0.1191,0.1247,0.1271,0.1144,0.1887,0.2009,0.2174,0.2002
s002,2,4,0.1976,0.1757,0.1218,0.1162,0.1246,0.1267,0.5919,0.5885,0.8627,0.9173,0.2692,0.2700,0.1524,0.1469,0.1255,0.0780,0.1871,0.2090,0.2425,0.2237
s002,2,5,0.1897,0.1662,0.1217,0.1096,0.1402,0.1352,0.5838,0.5998,0.4450,0.4604,0.2004,0.1745,0.0883,0.1223,0.1127,0.0856,0.1513,0.1684,0.2190,0.2042
s002,2,6,0.1132,0.1042,0.1207,0.1070,0.2526,0.2539,0.8777,0.8795,0.4389,0.4775,0.1703,0.1481,0.1257,0.1455,0.1088,0.0737,0.1676,0.1914,0.2900,0.2791
s002,2,7,0.1796,0.1672,0.0829,0.0906,0.1682,0.1589,0.6499,0.6682,0.4343,0.4469,0.1887,0.1724,0.1408,0.1429,0.0687,0.0478,0.2549,0.2692,0.3451,0.3398
s002,2,8,0.1696,0.1630,0.1301,0.1109,0.1714,0.1798,0.7692,0.7734,0.6952,0.7230,0.1603,0.1349,0.1643,0.1854,0.0755,0.0394,0.1877,0.2286,0.2892,0.2633
s002,2,9,0.1457,0.1169,0.1711,0.1450,0.1130,0.1336,0.6980,0.7069,0.4402,0.4540,0.1846,0.1695,0.1400,0.1596,0.1849,0.1495,0.2156,0.2473,0.2744,0.2503
s002,2,10,0.1942,0.1752,0.1518,0.1315,0.1167,0.1275,0.5185,0.5241,0.7346,0.7729,0.1849,0.1357,0.4516,0.5036,0.3371,0.3508,0.2884,0.2444,0.3034,0.2738
s002,2,11,0.2079,0.1636,0.2787,0.2758,0.1655,0.1658,0.8009,0.8104,0.4224,0.4398,0.1948,0.1747,0.1408,0.1759,0.2080,0.1806,0.2434,0.2450,0.2636,0.2612
s002,2,12,0.2002,0.1730,0.1417,0.1293,0.1460,0.1495,0.6044,0.5909,0.4862,0.5290,0.2783,0.2197,0.2960,0.3875,0.1734,0.1080,0.2280,0.2407,0.2517,0.2466
s002,2,13,0.2435,0.2205,0.1365,0.1328,0.1842,0.1742,0.8487,0.8474,0.4355,0.4600,0.2557,0.2433,0.2315,0.2764,0.1846,0.1247,0.2011,0.2088,0.2322,0.2205
s002,2,14,0.2090,0.1779,0.1321,0.1162,0.1906,0.2123,1.4356,1.4387,0.4403,0.4623,0.2368,0.2209,0.2089,0.2137,0.1411,0.1073,0.1792,0.2069,0.3032,0.3005
s002,2,15,0.2084,0.1831,0.1439,0.1156,0.1586,0.1980,0.7009,0.6919,0.4752,0.5032,0.3054,0.2919,0.1952,0.2195,0.1292,0.0751,0.1869,0.1977,0.2063,0.1942
s002,2,16,0.1633,0.1454,0.1439,0.1286,0.1339,0.1452,0.7861,0.7856,0.4749,0.5026,0.2220,0.2125,0.1854,0.1994,0.1368,0.0962,0.1967,0.2072,0.2052,0.2158
s002,2,17,0.1623,0.1330,0.1489,0.1357,0.1230,0.1428,0.6455,0.6447,0.5250,0.5631,0.3820,0.3595,0.2453,0.2616,0.1463,0.0930,0.1826,0.2130,0.2324,0.2123
s002,2,18,0.1511,0.1311,0.1381,0.1288,0.1438,0.1686,0.8558,0.8279,0.6517,0.6961,0.3791,0.3719,0.3577,0.3717,0.1616,0.1236,0.2254,0.2293,0.2345,0.2287
s002,2,19,0.2167,0.2027,0.1257,0.1220,0.1595,0.1692,0.9011,0.8998,0.4677,0.4931,0.3294,0.3138,0.1915,0.2118,0.1669,0.1168,0.1742,0.2072,0.3351,0.3416
s002,2,20,0.1942,0.1657,0.1217,0.1127,0.1312,0.1434,0.8372,0.8161,0.3915,0.4467,0.3400,0.3209,0.1548,0.1875,0.1423,0.0735,0.1642,0.1993,0.2383,0.2058
s002,2,21,0.2180,0.1755,0.1196,0.1199,0.1439,0.1639,0.6885,0.6740,0.3864,0.4260,0.2349,0.2035,0.1672,0.2033,0.1452,0.0927,0.1668,0.1879,0.2247,0.2168
s002,2,22,0.1929,0.1494,0.1107,0.1173,0.1387,0.1400,0.5270,0.5304,0.4326,0.4527,0.1898,0.1742,0.1305,0.1508,0.1455,0.1014,0.1599,0.1816,0.1960,0.1920
s002,2,23,0.2385,0.2269,0.1798,0.1552,0.2109,0.2204,0.7803,0.7832,0.3924,0.4162,0.1925,0.1782,0.1444,0.1574,0.1191,0.0861,0.1650,0.1919,0.2295,0.2155
s002,2,24,0.1821,0.1821,0.1629,0.1378,0.1228,0.1349,0.6024,0.5885,0.3559,0.4047,0.2154,0.2014,0.1656,0.1701,0.1184,0.0798,0.1670,0.1921,0.2102,0.1962
s002,2,25,0.1525,0.1322,0.1447,0.1289,0.1241,0.1391,0.5423,0.5394,0.4042,0.4196,0.1859,0.1795,0.1326,0.1418,0.1204,0.0856,0.1734,0.1924,0.2089,0.2115
s002,2,26,0.1947,0.1899,0.1536,0.1259,0.1367,0.1592,0.5613,0.5565,0.4052,0.4193,0.1722,0.1684,0.1405,0.1503,0.1305,0.0962,0.1674,0.1964,1.2663,1.2982
s002,2,27,0.1897,0.1533,0.1397,0.1255,0.1547,0.1671,0.7133,0.7199,0.3858,0.4090,0.2273,0.2159,0.1376,0.1500,0.1186,0.0846,0.1937,0.2296,0.2580,0.2287
s002,2,28,0.1923,0.1446,0.1284,0.1239,0.1262,0.1375,0.6402,0.6173,0.3839,0.4351,0.1616,0.1507,0.1323,0.1186,0.1331,0.1125,0.1750,0.1998,0.2442,0.2295
s002,2,29,0.2000,0.1796,0.1391,0.1257,0.1653,0.1753,0.6244,0.6107,0.4268,0.4724,0.1631,0.1423,0.1769,0.1859,0.1265,0.0843,0.1790,0.2090,0.2287,0.2187
s002,2,30,0.1570,0.1358,0.1341,0.1318,0.1344,0.1478,0.5019,0.5138,0.4548,0.4454,0.2224,0.2239,0.1442,0.1637,0.1183,0.0742,0.1625,0.1937,0.2074,0.2121
s002,2,31,0.1607,0.1185,0.1616,0.1399,0.1198,0.1462,0.4969,0.4993,0.4221,0.4248,0.1453,0.1479,0.1529,0.1537,0.1017,0.0652,0.1578,0.1866,0.2342,0.2150
s002,2,32,0.2064,0.1969,0.1455,0.1267,0.1415,0.1460,0.8149,0.8062,0.4252,0.4711,0.1985,0.1732,0.1632,0.1769,0.1336,0.0927,0.1620,0.1892,0.2015,0.1999
s002,2,33,0.1876,0.1689,0.1378,0.1277,0.1349,0.1508,0.5492,0.5397,0.4960,0.5134,0.2597,0.2428,0.1342,0.1656,0.1334,0.0872,0.1839,0.2111,0.2525,0.2375
s002,2,34,0.1638,0.1361,0.1399,0.1259,0.1328,0.1587,0.5737,0.5723,0.4434,0.4638,0.2252,0.2133,0.1500,0.1582,0.1223,0.0779,0.1723,0.1998,0.2129,0.2076
s002,2,35,0.1457,0.1290,0.1476,0.1344,0.1404,0.1581,0.7392,0.7192,0.3984,0.4346,0.1398,0.1157,0.1442,0.1716,0.1149,0.0767,0.1758,0.2008,0.2701,0.2630
s002,2,36,0.1664,0.1514,0.1526,0.1360,0.1806,0.2072,0.8107,0.8234,0.4551,0.4601,0.3877,0.3690,0.1859,0.2102,0.1188,0.0703,0.1896,0.2277,0.2635,0.2348
s002,2,37,0.1594,0.1353,0.1330,0.1230,0.1346,0.1552,0.8276,0.7922,0.3822,0.4419,0.2426,0.2347,0.2356,0.2432,0.1389,0.0896,0.1914,0.2075,0.2079,0.2139
s002,2,38,0.1630,0.1422,0.1260,0.1260,0.1378,0.1534,0.5991,0.6004,0.3852,0.4142,0.2653,0.2278,0.1254,0.1862,0.1320,0.0523,0.1888,0.2151,0.2754,0.2773
s002,2,39,0.1779,0.1581,0.1281,0.1091,0.1360,0.1513,0.5136,0.5038,0.4311,0.4578,0.1774,0.1605,0.1574,0.1943,0.1460,0.0975,0.1832,0.2040,0.2184,0.2208
s002,2,40,0.1757,0.1538,0.1412,0.1267,0.1280,0.1449,0.4365,0.4344,0.4265,0.4514,0.1627,0.1365,0.1403,0.1582,0.1217,0.0800,0.1702,0.1892,0.2131,0.2073
s002,2,41,0.2126,0.1802,0.1856,0.1681,0.1206,0.1444,0.4632,0.4600,0.4010,0.4304,0.1717,0.1494,0.1334,0.1414,0.1155,0.0875,0.1666,0.1901,0.2282,0.2076
s002,2,42,0.3496,0.3216,0.1333,0.1375,0.1971,0.2024,0.7254,0.7106,0.4922,0.5108,0.1878,0.1510,0.0983,0.1432,0.1439,0.1030,0.1716,0.1948,0.2324,0.2205
s002,2,43,0.1588,0.1327,0.1502,0.1468,0.1204,0.1409,0.4515,0.4362,0.9561,0.9817,0.2631,0.2378,0.1442,0.1796,0.1106,0.0492,0.1683,0.2004,0.2314,0.2240
s002,2,44,0.1380,0.1229,0.1301,0.1248,0.1116,0.1246,0.4711,0.4640,0.3775,0.4102,0.1780,0.1413,0.1213,0.1643,0.1138,0.0631,0.1815,0.1918,0.2237,0.2285
s002,2,45,0.1854,0.1625,0.1392,0.1291,0.1248,0.1452,0.4661,0.4542,0.4382,0.4749,0.1867,0.1574,0.2247,0.2468,0.1328,0.0914,0.1821,0.2011,0.2179,0.2103
s002,2,46,0.1758,0.1610,0.1392,0.1231,0.1399,0.1512,0.5080,0.5091,0.4115,0.4342,0.4120,0.3888,0.1675,0.1965,0.1405,0.0933,0.1901,0.2019,0.2171,0.2100
s002,2,47,0.1715,0.1501,0.1219,0.1098,0.1513,0.1737,0.6177,0.6111,0.3663,0.4026,0.1759,0.1246,0.1756,0.2250,0.1120,0.0623,0.1987,0.1987,0.2337,0.2556
s002,2,48,0.1882,0.1736,0.1309,0.1114,0.1576,0.1719,0.4883,0.4935,0.4218,0.4332,0.2210,0.2059,0.1690,0.1756,0.1051,0.0795,0.2180,0.2209,0.3572,0.3926
s002,2,49,0.2715,0.2387,0.1744,0.1531,0.1500,0.1690,0.5315,0.5254,0.3561,0.3886,0.2759,0.2479,0.1466,0.1717,0.1279,0.0772,0.1808,0.2040,0.2192,0.2142
s002,2,50,0.1504,0.1359,0.1539,0.1407,0.1209,0.1372,0.4903,0.4853,0.3898,0.4120,0.2935,0.2793,0.1498,0.1835,0.1143,0.0486,0.1882,0.2048,0.2089,0.2076
s002,3,1,0.5602,0.5319,0.2966,0.3053,0.1681,0.1534,0.8730,0.8640,0.4878,0.5208,0.2474,0.2128,0.1648,0.2099,0.1661,0.1371,0.1948,0.2017,0.2396,0.2206
s002,3,2,0.1855,0.1483,0.1204,0.1151,0.1217,0.1294,0.7777,0.7816,0.4545,0.4888,0.2507,0.2193,0.1320,0.1566,0.1139,0.0822,0.1605,0.1740,0.2409,0.2248
s002,3,3,0.2242,0.1807,0.0982,0.0882,0.1294,0.1449,0.7188,0.7209,0.3642,0.3878,0.1991,0.2043,0.1519,0.1712,0.1244,0.0679,0.1966,0.2037,0.4015,0.4242
s002,3,4,0.1604,0.1274,0.1048,0.0964,0.1167,0.1206,0.4336,0.4418,0.4015,0.4110,0.1848,0.1714,0.1023,0.1260,0.1167,0.0829,0.1655,0.1819,0.2050,0.1868
s002,3,5,0.2319,0.1989,0.1415,0.1273,0.1054,0.1151,0.5022,0.5012,0.3242,0.3612,0.2297,0.2141,0.1606,0.1843,0.1336,0.0993,0.1803,0.1774,0.2248,0.2143
s002,3,6,0.2061,0.1562,0.1383,0.1225,0.1056,0.1233,0.5178,0.5167,0.3688,0.3871,0.1746,0.1568,0.1447,0.1619,0.1291,0.1046,0.1885,0.1945,0.1983,0.1930
s002,3,7,0.1866,0.1657,0.1312,0.1151,0.1172,0.1394,0.4259,0.4056,1.7360,1.7783,0.2456,0.2239,0.1714,0.2070,0.0969,0.0584,0.1692,0.1789,0.2245,0.2037
s002,3,8,0.1586,0.1411,0.1391,0.1349,0.1164,0.1243,0.5061,0.5072,0.3942,0.4124,0.2157,0.1964,0.1181,0.1361,0.1141,0.0721,0.1465,0.1726,0.1909,0.1709
s002,3,9,0.1390,0.1245,0.1449,0.1262,0.1186,0.1315,0.5706,0.5822,0.3698,0.3778,0.2490,0.2347,0.1514,0.2036,0.0787,0.0317,0.1868,0.1998,0.2865,0.2815
s002,3,10,0.5473,0.5629,0.1840,0.1639,0.0953,0.1101,0.4133,0.4257,0.3385,0.3424,0.1737,0.1669,0.1073,0.1229,0.0980,0.0713,0.1497,0.1727,0.2172,0.1974
s002,3,11,0.1892,0.1834,0.1458,0.1257,0.1373,0.1418,0.4468,0.4421,0.3324,0.3685,0.1668,0.1441,0.1479,0.1601,0.0829,0.0473,0.1508,0.1729,0.1989,0.1841
s002,3,12,0.1940,0.1821,0.1357,0.1151,0.1112,0.1265,0.3713,0.3866,0.3906,0.4094,0.2096,0.1898,0.1836,0.2034,0.0753,0.0423,0.1721,0.1839,0.2361,0.2182
s002,3,13,0.4918,0.4834,0.2780,0.2474,0.1141,0.1336,0.4972,0.4895,0.3788,0.4089,0.2893,0.3189,0.2807,0.2706,0.1423,0.0954,0.1777,0.1880,0.2514,0.2445
s002,3,14,0.1736,0.1412,0.1523,0.1481,0.2281,0.2489,0.6481,0.6339,0.3648,0.3753,0.2191,0.2183,0.1819,0.2034,0.0901,0.0507,0.1724,0.1937,0.2458,0.2142
s002,3,15,0.1733,0.0960,0.1734,0.1684,0.1262,0.1336,0.4315,0.4212,0.3643,0.3831,0.1561,0.1473,0.1371,0.1556,0.0766,0.0560,0.1900,0.2066,0.3118,0.3171
s002,3,16,0.1573,0.1290,0.1782,0.1642,0.1183,0.1468,0.6568,0.6637,0.3611,0.3377,0.1960,0.1912,0.1485,0.1712,0.0837,0.0597,0.1764,0.1919,0.2382,0.1943
s002,3,17,0.1742,0.1348,0.1657,0.1621,0.1524,0.1608,0.5732,0.5682,0.3665,0.3773,0.2254,0.2009,0.2237,0.2741,0.1930,0.1605,0.1879,0.1900,0.2005,0.1865
s002,3,18,0.0910,0.0854,0.1777,0.1511,0.1086,0.1339,0.5487,0.5471,0.4298,0.4538,0.1425,0.1214,0.1711,0.1825,0.0901,0.0761,0.2001,0.1961,0.4401,0.4786
s002,3,19,0.1960,0.1685,0.1412,0.1286,0.1202,0.1168,0.4394,0.4568,0.3933,0.4136,0.1513,0.1246,0.1508,0.1767,0.1109,0.0816,0.2167,0.2117,0.2285,0.2367
s002,3,20,0.1321,0.1116,0.1568,0.1383,0.1135,0.1446,0.4473,0.4468,0.5361,0.5502,0.3242,0.3183,0.3435,0.3825,0.1708,0.1038,0.1929,0.2222,0.2546,0.2488
s002,3,21,0.1554,0.1238,0.2059,0.1979,1.0162,1.0490,0.7078,0.6816,0.3577,0.3869,0.1641,0.1455,0.1294,0.1474,0.0901,0.0637,0.1758,0.1992,0.2258,0.2163
s002,3,22,0.1341,0.1071,0.1684,0.1605,0.4196,0.4616,0.4890,0.4644,0.3624,0.3733,0.1782,0.1660,0.1331,0.1514,0.0877,0.0573,0.1689,0.1900,0.2060,0.2076
s002,3,23,0.1483,0.1261,0.1724,0.1674,0.1486,0.1676,0.7436,0.7418,0.4723,0.4882,0.1815,0.1579,0.1307,0.1582,0.1056,0.0700,0.1898,0.2003,0.2414,0.2227
s002,3,24,0.6441,0.6447,0.2526,0.2370,0.1418,0.1518,0.5032,0.4903,0.3310,0.3426,0.1531,0.1462,0.1331,0.1556,0.0877,0.0579,0.1888,0.2104,0.2538,0.2485
s002,3,25,0.1560,0.1275,0.1642,0.1549,0.1753,0.1957,0.4339,0.4175,0.4076,0.4298,0.1508,0.1331,0.1276,0.1566,0.1109,0.0716,0.1937,0.2267,0.2348,0.2306
s002,3,26,0.1267,0.0966,0.1708,0.1634,0.0731,0.0858,0.6838,0.6750,0.4614,0.4861,0.1482,0.1278,0.1437,0.1696,0.0824,0.0426,0.1767,0.2019,0.2306,0.2145
s002,3,27,0.1660,0.1388,0.1117,0.1204,0.1170,0.1181,0.4635,0.4838,0.3677,0.3577,0.1205,0.1141,0.1529,0.1846,0.0916,0.0597,0.2099,0.2215,0.2639,0.2522
