subject,sessionIndex,rep,UU.period.t,UU.t.i,UU.i.e,UU.e.five,UU.five.Shift.r,UU.Shift.r.o,UU.o.a,UU.a.n,UU.n.l,UU.l.Return
s002,1,21,0.1219,0.1542,0.1494,0.735,0.5726,0.183,0.4176,0.1007,0.2172,0.2458
s002,1,22,0.1871,0.1391,0.1695,0.7809,0.5784,0.2429,0.1727,0.0959,0.2091,0.2548
s002,1,23,0.1366,0.165,0.1515,0.8418,0.571,0.2703,0.1935,0.088,0.3209,0.3612
s002,1,24,0.1607,0.165,0.1363,0.8558,0.6485,0.2265,0.3353,0.0951,0.2473,0.31
s002,1,25,0.1237,0.1479,0.1787,0.649,0.7752,0.2664,0.4387,0.1677,0.54,0.2733
s002,1,26,0.1593,0.1405,0.1587,1.1508,0.7482,0.3506,0.1983,0.5191,0.3402,0.2438
s002,1,27,0.1502,0.1394,0.1658,0.6154,0.5482,0.1674,0.3538,0.1376,0.7349,0.2696
s002,1,28,0.1599,0.1254,0.1449,0.6614,0.8047,0.1702,0.1708,0.1519,0.2545,0.3881
s002,1,29,0.1791,0.1428,0.1463,0.8833,0.6994,0.3392,0.2516,0.0887,0.2528,0.4446
s002,1,30,0.105,0.1518,0.1286,0.6521,0.5435,0.2278,0.1701,0.1249,0.3898,0.2733
s002,1,31,0.2301,0.2183,0.1879,0.8088,0.4675,0.3341,0.202,0.1035,0.2275,0.2387
s002,1,32,0.1296,0.1441,0.1363,1.1115,0.6161,0.2157,0.1513,0.1365,0.2386,0.454
s002,1,33,0.2156,0.1428,0.1421,0.7407,0.5572,0.2186,0.1869,0.1363,0.2231,0.2706
s002,1,34,0.2021,0.1417,0.1294,0.6508,0.8176,0.6328,0.1872,0.3099,0.3101,0.2567
s002,1,35,0.1802,0.1479,0.1531,0.8932,0.4509,0.1853,0.1426,0.1801,0.2835,0.2345
s002,1,36,0.1689,0.1349,0.1307,0.7869,0.9325,0.2149,0.1344,0.1371,0.2676,0.491
s002,1,37,0.5686,0.1829,0.1502,0.7479,0.7155,0.1821,0.1885,0.2796,0.2634,0.2256
s002,1,38,0.1528,0.1473,0.1484,1.0707,0.4649,0.2859,0.1717,0.116,0.2584,0.2904
s002,1,39,0.1475,0.1507,0.1531,0.6776,0.4411,0.1376,0.1323,0.1867,0.2956,0.2604
s002,1,40,0.1739,0.1597,0.1531,0.9012,0.6324,0.2096,0.2307,0.1273,0.2919,0.3301
s002,1,41,0.2277,0.1372,0.1412,0.7679,0.4998,0.1531,0.1435,0.1207,0.2444,0.2844
s002,1,42,0.1182,0.1687,0.2049,1.0314,0.4987,0.1483,0.1439,0.1376,0.2576,0.2388
s002,1,43,0.1717,0.1465,0.1566,0.6109,0.4807,0.1674,0.1567,0.1859,0.3082,0.301
s002,1,44,0.1506,0.1573,0.1481,1.003,0.5174,0.7115,0.3648,0.3041,0.294,0.311
s002,1,45,0.3073,0.1805,0.1901,0.9009,0.5178,0.2468,0.2131,0.1713,0.2753,0.4775
s002,1,46,0.148,0.1671,0.138,0.7703,0.5509,0.303,0.1579,0.1334,0.2583,0.2638
s002,1,47,0.1428,0.185,0.1146,1.2894,0.771,0.2513,0.2558,0.2054,0.2526,0.2807
s002,1,48,0.5217,0.1462,0.1603,0.6702,0.4607,0.2481,0.1576,0.1677,0.2327,0.2807
s002,1,49,0.2037,0.174,0.1431,0.7835,0.5105,0.1876,0.1389,0.1473,0.2164,0.2326
s002,1,50,0.1752,0.2188,0.1972,1.2841,0.8279,0.2405,0.1671,0.0957,0.2558,0.296
s002,2,1,0.3985,0.1809,0.1557,1.421,1.0227,0.2843,0.169,0.1326,0.223,0.248
s002,2,2,0.1905,0.109,0.1169,0.6217,0.8226,0.2434,0.1067,0.1164,0.1829,0.2053
s002,2,3,0.1845,0.1252,0.1264,0.8896,0.7817,0.2692,0.1247,0.1144,0.2009,0.2002
s002,2,4,0.1757,0.1162,0.1267,0.5885,0.9173,0.27,0.1469,0.078,0.209,0.2237
s002,2,5,0.1662,0.1096,0.1352,0.5998,0.4604,0.1745,0.1223,0.0856,0.1684,0.2042
s002,2,6,0.1042,0.107,0.2539,0.8795,0.4775,0.1481,0.1455,0.0737,0.1914,0.2791
s002,2,7,0.1672,0.0906,0.1589,0.6682,0.4469,0.1724,0.1429,0.0478,0.2692,0.3398
s002,2,8,0.163,0.1109,0.1798,0.7734,0.723,0.1349,0.1854,0.0394,0.2286,0.2633
s002,2,9,0.1169,0.145,0.1336,0.7069,0.454,0.1695,0.1596,0.1495,0.2473,0.2503
s002,2,10,0.1752,0.1315,0.1275,0.5241,0.7729,0.1357,0.5036,0.3508,0.2444,0.2738
s002,2,11,0.1636,0.2758,0.1658,0.8104,0.4398,0.1747,0.1759,0.1806,0.245,0.2612
s002,2,12,0.173,0.1293,0.1495,0.5909,0.529,0.2197,0.3875,0.108,0.2407,0.2466
s002,2,13,0.2205,0.1328,0.1742,0.8474,0.46,0.2433,0.2764,0.1247,0.2088,0.2205
s002,2,14,0.1779,0.1162,0.2123,1.4387,0.4623,0.2209,0.2137,0.1073,0.2069,0.3005
s002,2,15,0.1831,0.1156,0.198,0.6919,0.5032,0.2919,0.2195,0.0751,0.1977,0.1942
s002,2,16,0.1454,0.1286,0.1452,0.7856,0.5026,0.2125,0.1994,0.0962,0.2072,0.2158
s002,2,17,0.133,0.1357,0.1428,0.6447,0.5631,0.3595,0.2616,0.093,0.213,0.2123
s002,2,18,0.1311,0.1288,0.1686,0.8279,0.6961,0.3719,0.3717,0.1236,0.2293,0.2287
s002,2,19,0.2027,0.122,0.1692,0.8998,0.4931,0.3138,0.2118,0.1168,0.2072,0.3416
s002,2,20,0.1657,0.1127,0.1434,0.8161,0.4467,0.3209,0.1875,0.0735,0.1993,0.2058
s002,2,21,0.1755,0.1199,0.1639,0.674,0.426,0.2035,0.2033,0.0927,0.1879,0.2168
s002,2,22,0.1494,0.1173,0.14,0.5304,0.4527,0.1742,0.1508,0.1014,0.1816,0.192
s002,2,23,0.2269,0.1552,0.2204,0.7832,0.4162,0.1782,0.1574,0.0861,0.1919,0.2155
s002,2,24,0.1821,0.1378,0.1349,0.5885,0.4047,0.2014,0.1701,0.0798,0.1921,0.1962
s002,2,25,0.1322,0.1289,0.1391,0.5394,0.4196,0.1795,0.1418,0.0856,0.1924,0.2115
s002,2,26,0.1899,0.1259,0.1592,0.5565,0.4193,0.1684,0.1503,0.0962,0.1964,1.2982
s002,2,27,0.1533,0.1255,0.1671,0.7199,0.409,0.2159,0.15,0.0846,0.2296,0.2287
s002,2,28,0.1446,0.1239,0.1375,0.6173,0.4351,0.1507,0.1186,0.1125,0.1998,0.2295
s002,2,29,0.1796,0.1257,0.1753,0.6107,0.4724,0.1423,0.1859,0.0843,0.209,0.2187
s002,2,30,0.1358,0.1318,0.1478,0.5138,0.4454,0.2239,0.1637,0.0742,0.1937,0.2121
s002,2,31,0.1185,0.1399,0.1462,0.4993,0.4248,0.1479,0.1537,0.0652,0.1866,0.215
s002,2,32,0.1969,0.1267,0.146,0.8062,0.4711,0.1732,0.1769,0.0927,0.1892,0.1999
s002,2,33,0.1689,0.1277,0.1508,0.5397,0.5134,0.2428,0.1656,0.0872,0.2111,0.2375
s002,2,34,0.1361,0.1259,0.1587,0.5723,0.4638,0.2133,0.1582,0.0779,0.1998,0.2076
s002,2,35,0.129,0.1344,0.1581,0.7192,0.4346,0.1157,0.1716,0.0767,0.2008,0.263
s002,2,36,0.1514,0.136,0.2072,0.8234,0.4601,0.369,0.2102,0.0703,0.2277,0.2348
s002,2,37,0.1353,0.123,0.1552,0.7922,0.4419,0.2347,0.2432,0.0896,0.2075,0.2139
s002,2,38,0.1422,0.126,0.1534,0.6004,0.4142,0.2278,0.1862,0.0523,0.2151,0.2773
s002,2,39,0.1581,0.1091,0.1513,0.5038,0.4578,0.1605,0.1943,0.0975,0.204,0.2208
s002,2,40,0.1538,0.1267,0.1449,0.4344,0.4514,0.1365,0.1582,0.08,0.1892,0.2073
s002,2,41,0.1802,0.1681,0.1444,0.46,0.4304,0.1494,0.1414,0.0875,0.1901,0.2076
s002,2,42,0.3216,0.1375,0.2024,0.7106,0.5108,0.151,0.1432,0.103,0.1948,0.2205
s002,2,43,0.1327,0.1468,0.1409,0.4362,0.9817,0.2378,0.1796,0.0492,0.2004,0.224
s002,2,44,0.1229,0.1248,0.1246,0.464,0.4102,0.1413,0.1643,0.0631,0.1918,0.2285
s002,2,45,0.1625,0.1291,0.1452,0.4542,0.4749,0.1574,0.2468,0.0914,0.2011,0.2103
s002,2,46,0.161,0.1231,0.1512,0.5091,0.4342,0.3888,0.1965,0.0933,0.2019,0.21
s002,2,47,0.1501,0.1098,0.1737,0.6111,0.4026,0.1246,0.225,0.0623,0.1987,0.2556
s002,2,48,0.1736,0.1114,0.1719,0.4935,0.4332,0.2059,0.1756,0.0795,0.2209,0.3926
s002,2,49,0.2387,0.1531,0.169,0.5254,0.3886,0.2479,0.1717,0.0772,0.204,0.2142
s002,2,50,0.1359,0.1407,0.1372,0.4853,0.412,0.2793,0.1835,0.0486,0.2048,0.2076
s002,3,1,0.5319,0.3053,0.1534,0.864,0.5208,0.2128,0.2099,0.1371,0.2017,0.2206
s002,3,2,0.1483,0.1151,0.1294,0.7816,0.4888,0.2193,0.1566,0.0822,0.174,0.2248
s002,3,3,0.1807,0.0882,0.1449,0.7209,0.3878,0.2043,0.1712,0.0679,0.2037,0.4242
s002,3,4,0.1274,0.0964,0.1206,0.4418,0.411,0.1714,0.126,0.0829,0.1819,0.1868
s002,3,5,0.1989,0.1273,0.1151,0.5012,0.3612,0.2141,0.1843,0.0993,0.1774,0.2143
s002,3,6,0.1562,0.1225,0.1233,0.5167,0.3871,0.1568,0.1619,0.1046,0.1945,0.193
s002,3,7,0.1657,0.1151,0.1394,0.4056,1.7783,0.2239,0.207,0.0584,0.1789,0.2037
s002,3,8,0.1411,0.1349,0.1243,0.5072,0.4124,0.1964,0.1361,0.0721,0.1726,0.1709
s002,3,9,0.1245,0.1262,0.1315,0.5822,0.3778,0.2347,0.2036,0.0317,0.1998,0.2815
s002,3,10,0.5629,0.1639,0.1101,0.4257,0.3424,0.1669,0.1229,0.0713,0.1727,0.1974
s002,3,11,0.1834,0.1257,0.1418,0.4421,0.3685,0.1441,0.1601,0.0473,0.1729,0.1841
s002,3,12,0.1821,0.1151,0.1265,0.3866,0.4094,0.1898,0.2034,0.0423,0.1839,0.2182
s002,3,13,0.4834,0.2474,0.1336,0.4895,0.4089,0.3189,0.2706,0.0954,0.188,0.2445
s002,3,14,0.1412,0.1481,0.2489,0.6339,0.3753,0.2183,0.2034,0.0507,0.1937,0.2142
s002,3,15,0.096,0.1684,0.1336,0.4212,0.3831,0.1473,0.1556,0.056,0.2066,0.3171
s002,3,16,0.129,0.1642,0.1468,0.6637,0.3377,0.1912,0.1712,0.0597,0.1919,0.1943
s002,3,17,0.1348,0.1621,0.1608,0.5682,0.3773,0.2009,0.2741,0.1605,0.19,0.1865
s002,3,18,0.0854,0.1511,0.1339,0.5471,0.4538,0.1214,0.1825,0.0761,0.1961,0.4786
s002,3,19,0.1685,0.1286,0.1168,0.4568,0.4136,0.1246,0.1767,0.0816,0.2117,0.2367
s002,3,20,0.1116,0.1383,0.1446,0.4468,0.5502,0.3183,0.3825,0.1038,0.2222,0.2488
s002,3,21,0.1238,0.1979,1.049,0.6816,0.3869,0.1455,0.1474,0.0637,0.1992,0.2163
s002,3,22,0.1071,0.1605,0.4616,0.4644,0.3733,0.166,0.1514,0.0573,0.19,0.2076
s002,3,23,0.1261,0.1674,0.1676,0.7418,0.4882,0.1579,0.1582,0.07,0.2003,0.2227
s002,3,24,0.6447,0.237,0.1518,0.4903,0.3426,0.1462,0.1556,0.0579,0.2104,0.2485
s002,3,25,0.1275,0.1549,0.1957,0.4175,0.4298,0.1331,0.1566,0.0716,0.2267,0.2306
s002,3,26,0.0966,0.1634,0.0858,0.675,0.4861,0.1278,0.1696,0.0426,0.2019,0.2145
s002,3,27,0.1388,0.1204,0.1181,0.4838,0.3577,0.1141,0.1846,0.0597,0.2215,0.2522
s002,3,28,0.137,0.1453,0.1494,0.5051,0.3651,0.1181,0.2071,0.0441,0.3077,0.2479
s002,3,29,0.1203,0.1746,0.0599,0.6811,0.4106,0.1085,0.226,0.0792,0.2281,0.2406
s002,3,30,0.1295,0.1603,0.142,0.4122,0.4806,0.1745,0.1674,0.1147,0.218,0.2322
s002,3,31,0.1321,0.1487,0.1387,0.5038,0.414,0.1758,0.1685,0.0589,0.2017,0.2097
s002,3,32,0.113,0.1542,0.104,0.4494,0.4023,0.0911,0.2237,0.0531,0.2032,0.2076
s002,3,33,0.1873,0.141,0.1479,0.5945,0.3583,0.25,0.1653,0.102,0.213,0.2071
s002,3,34,0.1248,0.1407,0.1183,0.394,0.9095,0.2315,0.1604,0.0745,0.1864,0.229
s002,3,35,0.1065,0.1452,0.1103,0.4396,0.3973,0.1329,0.2297,0.0885,0.2254,0.2099
s002,3,36,0.1203,0.1797,0.1388,0.5603,0.371,0.14,0.1976,0.0375,0.2019,0.2005
s002,3,37,0.1633,0.264,0.1344,0.8901,0.3809,0.1687,0.1738,0.0724,0.2238,0.2691
s002,3,38,0.1113,0.2252,0.1774,0.3911,0.4681,0.2801,0.2039,0.1323,0.213,0.2092
s002,3,39,0.1852,0.1584,0.1661,0.4542,0.4059,0.1555,0.1749,0.0568,0.2035,0.1965
s002,3,40,0.1177,0.1745,0.1373,0.5789,0.517,0.2131,0.1658,0.0936,0.2035,0.2063
s002,3,41,0.2457,0.1813,0.3233,0.6067,0.3807,0.2338,0.1862,0.088,0.2069,0.2781
s002,3,42,0.1548,0.1795,0.1267,0.3961,0.4245,0.1608,0.1727,0.0489,0.1919,0.1942
s002,3,43,0.1185,0.1864,0.1626,0.4439,0.4326,0.1684,0.1728,0.0745,0.1858,0.1926
s002,3,44,0.1459,0.1695,0.1334,0.4457,0.4222,0.1755,0.1661,0.074,0.2048,0.2234
s002,3,45,0.1564,0.1966,0.185,0.531,0.4103,0.217,0.188,0.1136,0.2199,0.229
s002,3,46,0.1763,0.2442,0.1879,0.5267,0.3628,0.1692,0.1625,0.0528,0.2085,0.2268
s002,3,47,0.1129,0.1634,0.1325,0.3571,0.4126,0.1826,0.1714,0.0639,0.1909,0.1936
s002,3,48,0.1451,0.1186,0.1621,0.3956,0.4729,0.2317,0.2559,0.0903,0.2128,0.2424
s002,3,49,0.1316,0.2246,0.1764,0.5235,0.406,0.1927,0.1648,0.0568,0.2056,0.2224
s002,3,50,0.1198,0.1576,0.1487,0.3866,0.4575,0.1813,0.1828,0.0737,0.1951,0.2005
s002,4,1,0.1457,0.0972,0.0909,0.4864,0.3765,0.1645,0.1454,0.0945,0.1813,0.1878
s002,4,2,0.1337,0.1251,0.1264,0.4101,0.4158,0.2286,0.1606,0.084,0.1808,0.185
s002,4,3,0.1546,0.1035,0.1578,0.4072,0.4042,0.1489,0.1358,0.0618,0.1671,0.2063
s002,4,4,0.1256,0.1019,0.1642,0.4639,0.3846,0.1379,0.178,0.0288,0.1914,0.1929
s002,4,5,0.1108,0.1181,0.1183,0.4233,0.4488,0.2032,0.1448,0.0842,0.1842,0.1907
s002,4,6,0.1187,0.1049,0.1291,0.4444,0.3588,0.1159,0.1852,-0.0013,0.2321,0.2353
s002,4,7,0.1399,0.0964,0.1429,0.4201,0.4308,0.2112,0.1693,0.041,0.2816,0.2216
s002,4,8,0.1652,0.1099,0.1568,0.593,0.5694,0.2463,0.1514,0.0072,0.2531,0.2775
s002,4,9,0.114,0.1053,0.1061,0.3425,0.3688,0.1645,0.2361,0.1265,0.248,0.2126
s002,4,10,0.1084,0.1594,0.1276,0.4561,0.3759,0.1787,0.1492,0.1083,0.1868,0.2962
s002,4,11,0.0932,0.1394,0.1338,0.6284,0.3968,0.2328,0.1683,0.06,0.1943,0.1842
s002,4,12,0.1453,0.1111,0.1156,0.4169,0.4588,0.1756,0.1518,0.0684,0.261,0.2113
s002,4,13,0.0957,0.1502,0.1152,0.4437,0.4139,0.1333,0.2142,0.0605,0.2241,0.2089
s002,4,14,0.0849,0.1396,0.0777,0.584,0.4144,0.1365,0.1717,0.1817,0.2077,0.2108
s002,4,15,0.1,0.1082,0.1336,0.4302,0.3598,0.1376,0.2252,0.1384,0.2341,0.1965
s002,4,16,0.0952,0.1566,0.114,0.4832,0.3553,0.1416,0.1815,0.1098,0.2161,0.2295
s002,4,17,0.1045,0.1634,0.1111,0.4344,0.3941,0.1468,0.1867,0.1096,0.1979,0.2015
s002,4,18,0.0746,0.2584,0.1241,0.4196,0.4276,0.2391,0.1799,0.1326,0.2048,0.1899
s002,4,19,0.1438,0.1141,0.142,0.3842,0.3693,0.1484,0.1997,0.0779,0.2122,0.2313
s002,4,20,0.1329,0.1309,0.1642,0.473,0.3576,0.1768,0.1276,0.0848,0.2093,0.1986
s002,4,21,0.0712,0.156,0.1109,0.3898,0.439,0.1774,0.1625,0.0848,0.2056,0.1952
s002,4,22,0.1011,0.1731,0.1278,0.4755,0.329,0.1938,0.1442,0.0832,0.1852,0.195
s002,4,23,0.0831,0.1339,0.1359,0.4061,0.5429,0.2299,0.1746,0.089,0.1779,0.1973
s002,4,24,0.0878,0.131,0.0938,0.3185,0.3549,0.1426,0.1698,0.0465,0.1705,0.1591
s002,4,25,0.0804,0.1365,0.1138,0.3285,0.4227,0.141,0.1862,0.1426,0.2407,0.1984
s002,4,26,0.0913,0.1304,0.0771,0.4715,0.3596,0.1175,0.1748,0.0692,0.2157,0.2232
s002,4,27,0.0934,0.1246,0.1191,0.3729,0.3393,0.1236,0.169,0.0499,0.6302,0.2984
s002,4,28,0.0915,0.1542,0.0953,0.4692,0.4117,0.1904,0.169,0.0883,0.2235,0.1995
s002,4,29,0.1752,0.1196,0.1576,0.4948,0.3352,0.1434,0.1448,0.0579,0.2354,0.206
s002,4,30,0.0838,0.1331,0.1056,0.551,0.4061,0.1286,0.1653,0.1117,0.2246,0.206
s002,4,31,0.0733,0.1742,0.1278,0.4719,0.3949,0.1418,0.1661,0.1136,0.2248,0.196
s002,4,32,0.0738,0.139,0.1072,0.417,0.3644,0.1199,0.1796,0.0896,0.2101,0.1997
s002,4,33,0.1826,0.1222,0.1106,0.6093,0.385,0.1267,0.1471,0.0872,0.2169,0.2303
s002,4,34,0.1147,0.1429,0.1371,0.3486,0.3701,0.1861,0.1548,0.1009,0.2003,0.1865
s002,4,35,0.1335,0.1372,0.1133,0.3349,0.3598,0.1444,0.1508,0.0991,0.2066,0.1865
s002,4,36,0.1174,0.133,0.1376,0.3296,0.4074,0.1584,0.174,0.0871,0.2085,0.1962
s002,4,37,0.1565,0.1265,0.1542,0.298,0.4171,0.1418,0.2141,0.0729,0.1914,0.1997
s002,4,38,0.1361,0.1098,0.1516,0.3977,0.3614,0.1165,0.1707,0.0354,0.1917,0.2158
s002,4,39,0.1063,0.1291,0.1436,0.4146,0.4696,0.1426,0.1308,0.074,0.1896,0.205
s002,4,40,0.1182,0.128,0.1922,0.3982,0.4166,0.1035,0.2144,0.1032,0.209,0.2263
s002,4,41,0.1005,0.1273,0.1386,0.2956,0.3883,0.117,0.1683,0.1128,0.203,0.1841
s002,4,42,0.1934,0.0972,0.1687,0.4634,0.3419,0.0992,0.1849,0.0407,0.1939,0.1788
s002,4,43,0.0952,0.1257,0.1291,0.2699,0.4445,0.2102,0.1869,0.0862,0.1895,0.2002
s002,4,44,0.1567,0.123,0.1465,0.2547,0.3918,0.1317,0.1791,0.1054,0.2231,0.2145
s002,4,45,0.1098,0.1386,0.1405,0.2323,0.4445,0.7854,0.1999,0.051,0.1903,0.2098
s002,4,46,0.1317,0.1106,0.1724,0.3336,0.3744,0.1518,0.154,0.0634,0.1948,0.1907
s002,4,47,0.1058,0.142,0.1165,0.2209,0.9202,0.1964,0.1751,0.0906,0.1708,0.1973
s002,4,48,0.118,0.1288,0.1542,0.2285,0.9041,0.1288,0.1844,0.0763,0.213,0.1968
s002,4,49,0.1082,0.1296,0.1254,0.2122,0.7251,0.2133,0.1582,0.0452,0.1979,0.1855
s002,4,50,0.116,0.1272,0.1523,0.2484,0.5158,0.175,0.203,0.1207,0.204,0.2636
s002,5,1,0.157,0.0914,0.1162,0.4188,0.3607,0.1333,0.1147,0.0811,0.1642,0.1749
s002,5,2,0.1279,0.1075,0.1285,0.3481,0.3237,0.1496,0.135,0.0426,0.1615,0.1598
s002,5,3,0.1103,0.1085,0.141,0.398,1.2573,0.1112,0.1395,0.013,0.1452,0.153
s002,5,4,0.1319,0.0846,0.1322,0.3235,0.3614,0.1257,0.1332,0.0423,0.1536,0.1456
s002,5,5,0.143,0.097,0.1059,0.3569,0.3411,0.1479,0.1567,0.0249,0.1678,0.1652
s002,5,6,0.1282,0.0971,0.1194,0.4457,0.3643,0.1128,0.1664,0.0207,0.1626,0.1738
s002,5,7,0.139,0.0951,0.1249,0.3963,0.3612,0.15,0.136,0.0557,0.1742,0.1651
s002,5,8,0.1229,0.0998,0.151,0.2848,0.3928,0.1251,0.1649,0.0048,0.1758,0.1527
s002,5,9,0.0971,0.1096,0.1344,0.3998,0.3786,0.1096,0.1857,-0.0277,0.2489,0.1788
s002,5,10,0.1506,0.0639,0.1565,0.3792,0.3609,0.1381,0.1839,0.0315,0.1982,0.167
s002,5,11,0.1042,0.1135,0.1212,0.2816,0.4078,0.1544,0.1461,0.0391,0.17,0.1638
s002,5,12,0.219,0.1051,0.1331,0.7545,0.3907,0.1937,0.1846,0.0581,0.2175,0.2156
s002,5,13,0.3866,0.1209,0.1315,0.3774,0.4111,0.1394,0.1673,0.0048,0.1747,0.2052
s002,5,14,0.1086,0.0927,0.1054,0.2199,0.4659,0.1523,0.1506,-0.0061,0.189,0.22
s002,5,15,0.1411,0.0993,0.1069,0.5822,0.3789,0.1161,0.1781,0.0935,0.1819,0.1743
s002,5,16,0.1061,0.1273,0.1059,0.4552,0.357,0.1613,0.1785,0.0328,0.1898,0.1805
s002,5,17,0.1016,0.1043,0.1117,0.2795,0.6633,0.1246,0.1472,0.0365,0.1985,0.1965
s002,5,18,0.1509,0.1246,0.1631,0.5323,0.3987,0.1001,0.1537,0.0655,0.1911,0.1691
s002,5,19,0.073,0.1473,0.0784,0.455,0.4509,0.1619,0.1653,0.0956,0.1697,0.1965
s002,5,20,0.0833,0.1627,0.0758,0.3112,0.5469,0.133,0.2151,-0.0222,0.7889,0.1933
s002,5,21,0.1114,0.1075,0.1016,0.4967,0.3712,0.1602,0.2004,0.1009,0.2098,0.1952
s002,5,22,0.0837,0.127,0.0794,0.247,0.4167,0.2325,0.2798,0.1178,0.1863,0.1815
s002,5,23,0.1129,0.1144,0.1191,0.217,0.4635,0.1666,0.1524,0.066,0.1818,0.2084
s002,5,24,0.1295,0.0951,0.1183,0.2265,0.6794,0.1188,0.1445,0.0418,0.2064,0.3317
s002,5,25,0.1509,0.0979,0.1648,0.3985,0.3804,0.132,0.1907,-0.0032,0.6299,0.2082
s002,5,26,0.1132,0.1127,0.0919,0.4333,0.3888,0.1293,0.2107,0.169,0.2193,0.7201
s002,5,27,0.1314,0.0983,0.1255,0.366,0.3833,0.1096,0.1965,0.0629,0.1842,0.1731
s002,5,28,0.1032,0.1309,0.0867,0.2299,0.7175,0.1254,0.1633,0.1521,0.2017,0.1973
s002,5,29,0.1058,0.1238,0.0969,0.3874,0.3374,0.0964,0.2041,0.1254,0.2008,0.1802
s002,5,30,0.167,0.0839,0.4898,0.5106,0.5153,0.1014,0.1616,0.0436,0.1729,0.2155
s002,5,31,0.1525,0.0935,0.1346,0.3645,0.3823,0.0797,0.1865,0.0547,0.1663,0.1838
s002,5,32,0.1061,0.1317,0.1007,0.5698,0.3557,0.07,0.2133,0.0766,0.2275,0.2113
s002,5,33,0.0973,0.1439,0.0639,0.236,0.4795,0.1727,0.1453,0.1007,0.1903,0.1957
s002,5,34,0.1531,0.0988,0.1581,0.6666,0.5464,0.1856,0.1546,0.0898,0.2056,0.3242
s002,5,35,0.1504,0.1225,0.1381,0.4518,0.3905,0.1262,0.1582,0.0925,0.1908,0.2158
s002,5,36,0.1037,0.1429,0.1003,0.4251,0.425,0.1159,0.1764,0.0833,0.2103,0.2689
s002,5,37,0.1209,0.1249,0.1077,0.4695,0.3495,0.1336,0.1839,0.0571,0.2175,0.2013
s002,5,38,0.0899,0.1484,0.0942,0.2658,0.4195,0.1771,0.1994,0.0426,0.1946,0.2131
s002,5,39,0.0929,0.1661,0.0789,0.466,0.3695,0.1249,0.159,0.1023,0.1958,0.1715
s002,5,40,0.1509,0.1196,0.1466,0.3027,0.4419,0.099,0.1716,0.0613,0.1938,0.1989
s002,5,41,0.1382,0.1128,0.1587,0.3813,0.3361,0.1056,0.1698,0.0399,0.1982,0.1583
s002,5,42,0.2227,0.1135,0.1872,0.2774,0.4157,0.108,0.1738,0.075,0.1819,0.1902
s002,5,43,0.1836,0.1299,0.0827,0.5202,0.3839,0.0871,0.1946,0.0249,0.1866,0.1989
s002,5,44,0.0672,0.1749,0.0412,0.4985,0.4191,0.0905,0.1762,0.0325,0.174,0.1786
s002,5,45,0.1259,0.1273,0.1044,0.2344,0.7453,0.0987,0.1922,0.092,0.1945,0.1934
s002,5,46,0.1303,0.4075,0.1985,0.3064,1.0065,0.1962,0.1677,0.0658,0.1935,0.1913
