subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
s002,2,7,0.0855,0.1796,0.0941,0.0731,0.0829,0.0098,0.0808,0.1682,0.0874,0.0715,0.6499,0.5784,0.0898,0.4343,0.3445,0.1024,0.1887,0.0863,0.0861,0.1408,0.0547,0.0882,0.0687,-0.0195,0.0673,0.2549,0.1876,0.0816,0.3451,0.2635,0.0763
s002,2,8,0.0958,0.1696,0.0738,0.0892,0.1301,0.0409,0.07,0.1714,0.1014,0.0784,0.7692,0.6908,0.0826,0.6952,0.6126,0.1104,0.1603,0.0499,0.085,0.1643,0.0793,0.1061,0.0755,-0.0306,0.07,0.1877,0.1177,0.1109,0.2892,0.1783,0.085
s002,2,9,0.113,0.1457,0.0327,0.0842,0.1711,0.0869,0.0581,0.113,0.0549,0.0787,0.698,0.6193,0.0876,0.4402,0.3526,0.1014,0.1846,0.0832,0.0863,0.14,0.0537,0.1059,0.1849,0.079,0.0705,0.2156,0.1451,0.1022,0.2744,0.1722,0.0781
s002,2,10,0.0995,0.1942,0.0947,0.0805,0.1518,0.0713,0.0602,0.1167,0.0565,0.071,0.5185,0.4475,0.0766,0.7346,0.658,0.1149,0.1849,0.07,0.0657,0.4516,0.3859,0.1177,0.3371,0.2194,0.1314,0.2884,0.157,0.0874,0.3034,0.216,0.0578
s002,3,1,0.1138,0.5602,0.4464,0.0855,0.2966,0.2111,0.0942,0.1681,0.0739,0.0795,0.873,0.7935,0.0705,0.4878,0.4173,0.1035,0.2474,0.1439,0.0689,0.1648,0.0959,0.114,0.1661,0.0521,0.085,0.1948,0.1098,0.0919,0.2396,0.1477,0.0729
s002,3,2,0.1098,0.1855,0.0757,0.0726,0.1204,0.0478,0.0673,0.1217,0.0544,0.075,0.7777,0.7027,0.0789,0.4545,0.3756,0.1132,0.2507,0.1375,0.0818,0.132,0.0502,0.1064,0.1139,0.0075,0.0747,0.1605,0.0858,0.0882,0.2409,0.1527,0.0721
s002,3,3,0.1103,0.2242,0.1139,0.0668,0.0982,0.0314,0.0568,0.1294,0.0726,0.0723,0.7188,0.6465,0.0744,0.3642,0.2898,0.098,0.1991,0.1011,0.1032,0.1519,0.0487,0.1225,0.1244,0.0019,0.066,0.1966,0.1306,0.0731,0.4015,0.3284,0.0958
s002,3,4,0.104,0.1604,0.0564,0.071,0.1048,0.0338,0.0626,0.1167,0.0541,0.0665,0.4336,0.3671,0.0747,0.4015,0.3268,0.0842,0.1848,0.1006,0.0708,0.1023,0.0315,0.0945,0.1167,0.0222,0.0607,0.1655,0.1048,0.0771,0.205,0.1279,0.0589
s002,3,5,0.109,0.2319,0.1229,0.076,0.1415,0.0655,0.0618,0.1054,0.0436,0.0715,0.5022,0.4307,0.0705,0.3242,0.2537,0.1075,0.2297,0.1222,0.0919,0.1606,0.0687,0.1156,0.1336,0.018,0.0813,0.1803,0.099,0.0784,0.2248,0.1464,0.0679
s002,3,6,0.1296,0.2061,0.0765,0.0797,0.1383,0.0586,0.0639,0.1056,0.0417,0.0816,0.5178,0.4362,0.0805,0.3688,0.2883,0.0988,0.1746,0.0758,0.081,0.1447,0.0637,0.0982,0.1291,0.0309,0.0737,0.1885,0.1148,0.0797,0.1983,0.1186,0.0744
s002,3,7,0.0998,0.1866,0.0868,0.0789,0.1312,0.0523,0.0628,0.1172,0.0544,0.085,0.4259,0.3409,0.0647,1.736,1.6713,0.107,0.2456,0.1386,0.0853,0.1714,0.0861,0.1209,0.0969,-0.024,0.0824,0.1692,0.0868,0.0921,0.2245,0.1324,0.0713
s002,3,8,0.0927,0.1586,0.0659,0.0752,0.1391,0.0639,0.071,0.1164,0.0454,0.0789,0.5061,0.4272,0.08,0.3942,0.3142,0.0982,0.2157,0.1175,0.0789,0.1181,0.0392,0.0969,0.1141,0.0172,0.0549,0.1465,0.0916,0.081,0.1909,0.1099,0.061
s002,3,9,0.1003,0.139,0.0387,0.0858,0.1449,0.0591,0.0671,0.1186,0.0515,0.08,0.5706,0.4906,0.0916,0.3698,0.2782,0.0996,0.249,0.1494,0.0853,0.1514,0.0661,0.1375,0.0787,-0.0588,0.0905,0.1868,0.0963,0.1035,0.2865,0.183,0.0985
s002,3,10,0.0647,0.5473,0.4826,0.0803,0.184,0.1037,0.0602,0.0953,0.0351,0.075,0.4133,0.3383,0.0874,0.3385,0.2511,0.0913,0.1737,0.0824,0.0845,0.1073,0.0228,0.1001,0.098,-0.0021,0.0734,0.1497,0.0763,0.0964,0.2172,0.1208,0.0766
s002,4,1,0.1159,0.1937,0.0778,0.0679,0.0859,0.018,0.0792,0.1017,0.0225,0.0684,0.4745,0.4061,0.0803,0.3483,0.268,0.1085,0.1935,0.085,0.0795,0.1332,0.0537,0.0917,0.0885,-0.0032,0.0977,0.1916,0.0939,0.0874,0.2203,0.1329,0.0549
s002,4,2,0.1008,0.1622,0.0614,0.0723,0.123,0.0507,0.0744,0.1264,0.052,0.0744,0.3953,0.3209,0.0892,0.3999,0.3107,0.1051,0.2513,0.1462,0.0824,0.1353,0.0529,0.1077,0.1035,-0.0042,0.0882,0.1893,0.1011,0.0797,0.2034,0.1237,0.0613
s002,4,3,0.1024,0.1622,0.0598,0.0948,0.1294,0.0346,0.0689,0.1309,0.062,0.0958,0.4175,0.3217,0.0855,0.3822,0.2967,0.1075,0.1703,0.0628,0.0861,0.1234,0.0373,0.0985,0.0819,-0.0166,0.0784,0.1671,0.0887,0.0784,0.2097,0.1313,0.075
s002,4,4,0.1148,0.158,0.0432,0.0824,0.1157,0.0333,0.0686,0.1449,0.0763,0.0879,0.4779,0.39,0.0739,0.3608,0.2869,0.0977,0.1495,0.0518,0.0861,0.1622,0.0761,0.1019,0.0473,-0.0546,0.0834,0.1961,0.1127,0.0787,0.2111,0.1324,0.0605
s002,4,5,0.1032,0.1319,0.0287,0.0821,0.1397,0.0576,0.0605,0.0962,0.0357,0.0826,0.4222,0.3396,0.0837,0.42,0.3363,0.1125,0.2252,0.1127,0.0905,0.1323,0.0418,0.103,0.0877,-0.0153,0.0995,0.2027,0.1032,0.081,0.2062,0.1252,0.0655
s002,4,6,0.1014,0.1372,0.0358,0.0829,0.1141,0.0312,0.0737,0.1194,0.0457,0.0834,0.4462,0.3628,0.0816,0.3411,0.2595,0.0993,0.1434,0.0441,0.0718,0.1387,0.0669,0.1183,0.0336,-0.0847,0.0834,0.2191,0.1357,0.0964,0.2557,0.1593,0.076
s002,4,7,0.1069,0.1607,0.0538,0.0861,0.1186,0.0325,0.0639,0.1215,0.0576,0.0853,0.4154,0.3301,0.09,0.4102,0.3202,0.1106,0.2323,0.1217,0.0895,0.1659,0.0764,0.0929,0.0338,-0.0591,0.1001,0.2706,0.1705,0.1111,0.2638,0.1527,0.0689
s002,4,8,0.1114,0.1971,0.0857,0.0795,0.1099,0.0304,0.0795,0.1452,0.0657,0.0911,0.588,0.4969,0.0961,0.5678,0.4717,0.0977,0.2326,0.1349,0.1114,0.1835,0.0721,0.0793,0.0117,-0.0676,0.0748,0.2247,0.1499,0.1032,0.2907,0.1875,0.09
s002,4,9,0.1037,0.1496,0.0459,0.0681,0.0834,0.0153,0.09,0.1151,0.0251,0.081,0.3356,0.2546,0.0879,0.3664,0.2785,0.0903,0.155,0.0647,0.0998,0.196,0.0962,0.1399,0.1386,-0.0013,0.1278,0.2692,0.1414,0.1066,0.2532,0.1466,0.066
s002,4,10,0.0876,0.1179,0.0303,0.0781,0.1528,0.0747,0.0847,0.1138,0.0291,0.0985,0.4838,0.3853,0.0708,0.3461,0.2753,0.1006,0.1906,0.09,0.0887,0.1479,0.0592,0.09,0.1101,0.0201,0.0882,0.1755,0.0873,0.0995,0.2949,0.1954,0.1008
s002,5,1,0.09,0.182,0.092,0.065,0.0917,0.0267,0.0647,0.107,0.0423,0.0739,0.4209,0.347,0.0718,0.3229,0.2511,0.1096,0.1814,0.0718,0.0615,0.0788,0.0173,0.0974,0.1167,0.0193,0.0618,0.1629,0.1011,0.0631,0.1865,0.1234,0.0515
s002,5,2,0.0937,0.1514,0.0577,0.0702,0.113,0.0428,0.0647,0.1114,0.0467,0.0818,0.3386,0.2568,0.0913,0.3228,0.2315,0.0922,0.1637,0.0715,0.0781,0.0927,0.0146,0.1204,0.0919,-0.0285,0.0711,0.1555,0.0844,0.0771,0.1907,0.1136,0.0462
s002,5,3,0.0832,0.1198,0.0366,0.0737,0.1231,0.0494,0.0591,0.1159,0.0568,0.0842,0.4526,0.3684,0.0296,1.1874,1.1578,0.0995,0.1444,0.0449,0.0663,0.1041,0.0378,0.1017,0.0455,-0.0562,0.0692,0.1587,0.0895,0.0557,0.1651,0.1094,0.0436
s002,5,4,0.0755,0.1282,0.0527,0.0792,0.1083,0.0291,0.0555,0.1175,0.062,0.0702,0.3161,0.2459,0.0776,0.316,0.2384,0.123,0.1737,0.0507,0.075,0.1062,0.0312,0.102,0.06,-0.042,0.0843,0.1748,0.0905,0.0631,0.1831,0.12,0.0256
s002,5,5,0.0805,0.1438,0.0633,0.0797,0.1117,0.032,0.065,0.0975,0.0325,0.0734,0.3434,0.27,0.0869,0.315,0.2281,0.113,0.1917,0.0787,0.0692,0.0994,0.0302,0.1265,0.0703,-0.0562,0.0811,0.1774,0.0963,0.0715,0.1931,0.1216,0.0436
s002,5,6,0.1014,0.1391,0.0377,0.0905,0.1219,0.0314,0.0657,0.1027,0.037,0.0824,0.4547,0.3723,0.0734,0.3353,0.2619,0.1024,0.1476,0.0452,0.0676,0.1334,0.0658,0.1006,0.0565,-0.0441,0.0648,0.1659,0.1011,0.0615,0.1754,0.1139,0.0599
s002,5,7,0.0934,0.1524,0.059,0.08,0.1157,0.0357,0.0594,0.1019,0.0425,0.0824,0.3998,0.3174,0.0789,0.3392,0.2603,0.1009,0.1767,0.0758,0.0742,0.1099,0.0357,0.1003,0.0858,-0.0145,0.0702,0.1686,0.0984,0.0758,0.1876,0.1118,0.0533
s002,5,8,0.099,0.1427,0.0437,0.0792,0.1167,0.0375,0.0623,0.1328,0.0705,0.0805,0.2755,0.195,0.0898,0.3559,0.2661,0.1267,0.1705,0.0438,0.0813,0.1321,0.0508,0.1141,0.0444,-0.0697,0.0745,0.1835,0.109,0.0668,0.1688,0.102,0.0507
s002,5,9,0.1124,0.129,0.0166,0.0805,0.1312,0.0507,0.0589,0.1215,0.0626,0.0718,0.404,0.3322,0.0676,0.3353,0.2677,0.1109,0.1434,0.0325,0.0771,0.1582,0.0811,0.1046,0.0251,-0.0795,0.0518,0.2075,0.1557,0.0932,0.2089,0.1157,0.0631
s002,5,10,0.0948,0.1797,0.0849,0.0657,0.057,-0.0087,0.0726,0.1441,0.0715,0.085,0.3871,0.3021,0.0771,0.3369,0.2598,0.1011,0.1566,0.0555,0.0826,0.1693,0.0867,0.0972,0.0154,-0.0818,0.1133,0.2043,0.091,0.1072,0.2116,0.1044,0.0626
s002,6,1,0.0956,0.1465,0.0509,0.071,0.1072,0.0362,0.062,0.071,0.009,0.0718,0.3668,0.295,0.1069,0.3321,0.2252,0.1104,0.1305,0.0201,0.0879,0.1276,0.0397,0.1125,0.089,-0.0235,0.0687,0.1524,0.0837,0.0913,0.2057,0.1144,0.065
s002,6,2,0.099,0.1464,0.0474,0.0729,0.1057,0.0328,0.0679,0.1025,0.0346,0.0721,0.3502,0.2781,0.0932,0.3063,0.2131,0.109,0.18,0.071,0.0824,0.1165,0.0341,0.098,0.0835,-0.0145,0.0729,0.1547,0.0818,0.0715,0.1872,0.1157,0.0496
s002,6,3,0.0853,0.1193,0.034,0.0774,0.1102,0.0328,0.0708,0.1131,0.0423,0.0763,0.3431,0.2668,0.0866,0.3389,0.2523,0.1022,0.1906,0.0884,0.0673,0.1355,0.0682,0.1038,0.065,-0.0388,0.0732,0.1748,0.1016,0.0758,0.1826,0.1068,0.0655
s002,6,4,0.0842,0.1261,0.0419,0.0705,0.1106,0.0401,0.0597,0.0877,0.028,0.0795,0.3167,0.2372,0.0723,0.3495,0.2772,0.0977,0.1455,0.0478,0.0689,0.13,0.0611,0.0998,0.0908,-0.009,0.0589,0.1605,0.1016,0.0742,0.2989,0.2247,0.0657
s002,6,5,0.0702,0.1108,0.0406,0.0776,0.1333,0.0557,0.0684,0.117,0.0486,0.0734,0.3061,0.2327,0.0869,0.382,0.2951,0.0969,0.131,0.0341,0.0692,0.1564,0.0872,0.1008,0.0383,-0.0625,0.0763,0.3207,0.2444,0.1085,0.2572,0.1487,0.07
s002,6,6,0.0998,0.1306,0.0308,0.0726,0.1178,0.0452,0.07,0.102,0.032,0.0871,0.6668,0.5797,0.094,0.3469,0.2529,0.1035,0.1149,0.0114,0.0866,0.1627,0.0761,0.1162,0.0616,-0.0546,0.0874,0.1821,0.0947,0.0845,0.191,0.1065,0.0639
s002,6,7,0.0824,0.0895,0.0071,0.0789,0.1386,0.0597,0.0607,0.0837,0.023,0.0832,0.3505,0.2673,0.0795,0.3364,0.2569,0.085,0.1523,0.0673,0.071,0.1693,0.0983,0.1264,0.1613,0.0349,0.0921,0.1742,0.0821,0.0927,0.1868,0.0941,0.0937
s002,6,8,0.1072,0.1034,-0.0038,0.0837,0.1394,0.0557,0.0697,0.0872,0.0175,0.0737,0.2785,0.2048,0.08,0.3606,0.2806,0.0856,0.1046,0.019,0.0863,0.1516,0.0653,0.1004,0.0571,-0.0433,0.0666,0.1508,0.0842,0.0781,0.1683,0.0902,0.0692
s002,6,9,0.0855,0.1488,0.0633,0.0744,0.1209,0.0465,0.0586,0.0921,0.0335,0.0676,0.2059,0.1383,0.0869,0.4163,0.3294,0.1144,0.1962,0.0818,0.076,0.1254,0.0494,0.1067,0.0919,-0.0148,0.0695,0.1539,0.0844,0.0853,0.1828,0.0975,0.0774
s002,6,10,0.0837,0.1203,0.0366,0.0737,0.1152,0.0415,0.0837,0.1312,0.0475,0.0684,0.3766,0.3082,0.0673,0.3054,0.2381,0.1035,0.1146,0.0111,0.0771,0.144,0.0669,0.0901,0.0249,-0.0652,0.0898,0.1972,0.1074,0.09,0.1999,0.1099,0.0589
s002,7,1,0.1016,0.287,0.1854,0.0718,0.1214,0.0496,0.0576,0.1252,0.0676,0.081,0.6911,0.6101,0.0694,0.3592,0.2898,0.1212,0.1711,0.0499,0.0784,0.1569,0.0785,0.1096,0.0864,-0.0232,0.08,0.1993,0.1193,0.0845,0.2359,0.1514,0.0766
s002,7,2,0.1095,0.2002,0.0907,0.0692,0.1012,0.032,0.0763,0.1056,0.0293,0.0768,0.4465,0.3697,0.0927,0.9154,0.8227,0.1452,0.3439,0.1987,0.0974,0.1434,0.046,0.1124,0.1164,0.004,0.0787,0.1653,0.0866,0.0774,0.1855,0.1081,0.075
s002,7,3,0.1029,0.139,0.0361,0.0694,0.1043,0.0349,0.0723,0.0977,0.0254,0.0787,0.3093,0.2306,0.0979,0.3687,0.2708,0.1104,0.1524,0.042,0.089,0.1503,0.0613,0.1017,0.055,-0.0467,0.085,0.1942,0.1092,0.0721,0.1886,0.1165,0.0684
s002,7,4,0.1093,0.1193,0.01,0.0702,0.1267,0.0565,0.0776,0.1014,0.0238,0.071,0.3681,0.2971,0.0966,0.439,0.3424,0.1046,0.2197,0.1151,0.0929,0.126,0.0331,0.0869,0.0755,-0.0114,0.0777,0.165,0.0873,0.0829,0.1749,0.092,0.0718
s002,7,5,0.0979,0.1519,0.054,0.0721,0.1022,0.0301,0.0721,0.1112,0.0391,0.0781,0.3177,0.2396,0.0964,0.3559,0.2595,0.0996,0.2128,0.1132,0.0869,0.1324,0.0455,0.1193,0.0837,-0.0356,0.0977,0.1755,0.0778,0.1019,0.2079,0.106,0.0792
s002,7,6,0.0919,0.0998,0.0079,0.0911,0.1328,0.0417,0.0718,0.0943,0.0225,0.0876,0.2602,0.1726,0.0853,0.4012,0.3159,0.1164,0.1742,0.0578,0.0874,0.1672,0.0798,0.1028,0.0922,-0.0106,0.1041,0.1965,0.0924,0.081,0.1936,0.1126,0.0734
s002,7,7,0.0934,0.1224,0.029,0.0671,0.1154,0.0483,0.0774,0.0912,0.0138,0.0713,0.3135,0.2422,0.0837,0.4205,0.3368,0.1156,0.1444,0.0288,0.0971,0.1711,0.074,0.0821,0.1452,0.0631,0.0618,0.1623,0.1005,0.0847,0.1822,0.0975,0.0803
s002,7,8,0.0927,0.1135,0.0208,0.0665,0.1283,0.0618,0.0702,0.1096,0.0394,0.0842,0.3832,0.299,0.0927,0.3707,0.278,0.1156,0.1278,0.0122,0.0837,0.1482,0.0645,0.1206,0.4057,0.2851,0.132,0.2946,0.1626,0.1003,0.2374,0.1371,0.0832
s002,7,9,0.1188,0.209,0.0902,0.0668,0.093,0.0262,0.0866,0.141,0.0544,0.0781,0.3903,0.3122,0.0784,0.3849,0.3065,0.1104,0.1532,0.0428,0.0758,0.1392,0.0634,0.0993,0.0827,-0.0166,0.0776,0.1668,0.0892,0.0871,0.2195,0.1324,0.0821
s002,7,10,0.1161,0.1828,0.0667,0.0628,0.0887,0.0259,0.0964,0.1276,0.0312,0.0713,0.3365,0.2652,0.0821,0.3767,0.2946,0.1175,0.1629,0.0454,0.1056,0.1762,0.0706,0.1267,0.0573,-0.0694,0.0871,0.1879,0.1008,0.0927,0.2193,0.1266,0.1035
s002,8,1,0.1391,0.3573,0.2182,0.1481,0.2181,0.07,0.0921,0.1742,0.0821,0.1283,0.5207,0.3924,0.0808,0.4598,0.379,0.1265,0.2653,0.1388,0.1072,0.1134,0.0062,0.1613,0.1888,0.0275,0.108,0.3157,0.2077,0.104,0.2387,0.1347,0.1022
s002,8,2,0.1399,0.2728,0.1329,0.1354,0.1893,0.0539,0.0958,0.1051,0.0093,0.1024,0.4858,0.3834,0.1016,0.4714,0.3698,0.1402,0.2358,0.0956,0.1148,0.1236,0.0088,0.1473,0.1917,0.0444,0.1061,0.2747,0.1686,0.1188,0.2739,0.1551,0.1053
s002,8,3,0.1278,0.1913,0.0635,0.1059,0.1109,0.005,0.0927,0.1136,0.0209,0.0879,0.4075,0.3196,0.1159,0.6807,0.5648,0.1716,0.2621,0.0905,0.1095,0.1239,0.0144,0.1533,0.2172,0.0639,0.0876,0.1834,0.0958,0.1473,0.3185,0.1712,0.1095
s002,8,4,0.1365,0.4312,0.2947,0.1552,0.1634,0.0082,0.1152,0.1138,-0.0014,0.0962,0.449,0.3528,0.1014,0.492,0.3906,0.1511,0.2725,0.1214,0.114,0.1231,0.0091,0.1505,0.1492,-0.0013,0.1019,0.1713,0.0694,0.137,0.2525,0.1155,0.119
s002,8,5,0.1428,0.2256,0.0828,0.0961,0.1199,0.0238,0.1154,0.1344,0.019,0.0998,0.3573,0.2575,0.1051,0.5367,0.4316,0.1502,0.2093,0.0591,0.1053,0.1202,0.0149,0.1513,0.07,-0.0813,0.1115,0.1669,0.0554,0.142,0.2984,0.1564,0.1132
s002,8,6,0.1734,0.2166,0.0432,0.1454,0.1272,-0.0182,0.1193,0.1452,0.0259,0.1233,0.5761,0.4528,0.0966,0.4744,0.3778,0.1431,0.1719,0.0288,0.1278,0.1809,0.0531,0.1278,0.1867,0.0589,0.1032,0.4312,0.328,0.1109,0.2702,0.1593,0.0993
s002,8,7,0.1402,0.2109,0.0707,0.1114,0.1529,0.0415,0.0832,0.1439,0.0607,0.1219,0.6312,0.5093,0.1022,0.4287,0.3265,0.1539,0.2025,0.0486,0.1376,0.1141,-0.0235,0.1608,0.1331,-0.0277,0.109,0.1583,0.0493,0.1367,0.2638,0.1271,0.1446
s002,8,8,0.1446,0.1736,0.029,0.1314,0.1591,0.0277,0.0993,0.0549,-0.0444,0.1811,0.9202,0.7391,0.1504,0.8775,0.7271,0.1307,0.1632,0.0325,0.1148,0.1365,0.0217,0.1864,0.1038,-0.0826,0.1215,0.2094,0.0879,0.1483,0.263,0.1147,0.1399
s002,8,9,0.1615,0.2398,0.0783,0.1241,0.1534,0.0293,0.0942,0.1233,0.0291,0.1093,0.4331,0.3238,0.1533,0.4894,0.3361,0.1613,0.2381,0.0768,0.1032,0.1044,0.0012,0.1639,0.293,0.1291,0.2185,0.3214,0.1029,0.1243,0.3087,0.1844,0.1161
s002,8,10,0.1682,0.1654,-0.0028,0.1302,0.1859,0.0557,0.1169,0.1204,0.0035,0.1336,0.3959,0.2623,0.1117,0.4491,0.3374,0.1199,0.1624,0.0425,0.1594,0.1693,0.0099,0.1486,0.1547,0.0061,0.1288,0.1613,0.0325,0.1354,0.2522,0.1168,0.1404
s003,1,1,0.1333,0.2636,0.1303,0.1246,0.1737,0.0491,0.133,0.1977,0.0647,0.0934,0.8302,0.7368,0.0697,0.4902,0.4205,0.0964,0.3585,0.2621,0.1225,0.2139,0.0914,0.1291,0.2234,0.0943,0.109,0.3811,0.2721,0.1003,0.2997,0.1994,0.1035
s003,1,2,0.1307,0.385,0.2543,0.1214,0.1908,0.0694,0.0956,0.2007,0.1051,0.1267,0.8698,0.7431,0.0964,0.5018,0.4054,0.1025,0.2669,0.1644,0.1267,0.2057,0.079,0.1016,0.2365,0.1349,0.0781,0.2932,0.2151,0.1138,0.3201,0.2063,0.1035
s003,1,3,0.1143,0.2752,0.1609,0.1148,0.1439,0.0291,0.1468,0.4033,0.2565,0.1504,0.6373,0.4869,0.085,0.5286,0.4436,0.1196,0.235,0.1154,0.1497,0.1807,0.031,0.1132,0.2104,0.0972,0.1351,0.2502,0.1151,0.1227,0.2883,0.1656,0.08
s003,1,4,0.1328,0.2296,0.0968,0.0985,0.7023,0.6038,0.1222,0.6574,0.5352,0.1423,0.5373,0.395,0.108,0.5316,0.4236,0.1114,0.2283,0.1169,0.1391,0.3044,0.1653,0.147,0.1824,0.0354,0.0892,0.3454,0.2562,0.109,0.3079,0.1989,0.0958
